stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
APEX,APEX EQUITY HOLDINGS BHD,5088,OTHER FINANCIALS,FINANCIAL SERVICES,Main Market,<span class='up fw-bold'>+0.005</span>,Bursa
APM,APM AUTOMOTIVE HOLDINGS BHD,5015,AUTO PARTS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
APOLLO,APOLLO FOOD HOLDINGS BHD,6432,FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.02</span>,Bursa
APPASIA,APPASIA BERHAD,0119,SOFTWARE,TECHNOLOGY,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ARANK,A-RANK BHD,7214,METALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
ARBB,ARB BERHAD,7181,SOFTWARE,TECHNOLOGY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ARBB-OR,ARB BERHAD - ORDINARY RIGHTS,7181OR,SOFTWARE,TECHNOLOGY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ARBB-PA,,7181PA,SOFTWARE,TECHNOLOGY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ARK,ARK RESOURCES HOLDINGS BERHAD,7007,PROPERTY,PROPERTY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ARKA,ARKA BERHAD,7218,TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,Main Market,<span class='up fw-bold'>+0.01</span>,Bursa
ARMADA,BUMI ARMADA BERHAD,5210,"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",ENERGY,Main Market,<span class='up fw-bold'>+0.005</span>,Bursa
ARREIT,AMANAHRAYA REITS,5127,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
ARTRONIQ,ARTRONIQ BERHAD,0038,CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='down fw-bold'>-0.015</span>,Bursa
ASB,ADVANCE SYNERGY BHD,1481,"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.005</span>,Bursa
ASB-OR,ADVANCE SYNERGY BERHAD - ORDINARY RIGHTS,1481OR,"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ASDION,ASDION BHD,0068,SOFTWARE,TECHNOLOGY,Ace Market,<span class='up fw-bold'>+0.005</span>,Bursa
ASIABRN,ASIA BRANDS BERHAD,7722,PERSONAL GOODS,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ASIAFLE,ASIA FILE CORPORATION BHD,7129,CONSUMER SERVICES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.02</span>,Bursa
ASIAPAC,ASIAN PAC HOLDINGS BHD,4057,PROPERTY,PROPERTY,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
ASIAPAC-LC,,4057LC,PROPERTY,PROPERTY,Bonds/Loans,<span class='up fw-bold'>+0.005</span>,Bursa
ASIAPLY,ASIA POLY HOLDINGS BHD,0105,CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ASIAPLY-PA,,0105PA,CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ASTEEL,ASTEEL GROUP BERHAD,7020,METALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ASTINO,ASTINO BHD,7162,BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.005</span>,Bursa
ASTRA,ASTRAMINA GROUP BERHAD,03032,FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,LEAP Market,<span class='up fw-bold'>0.00</span>,Bursa
ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,6399,MEDIA,TELECOMMUNICATIONS & MEDIA,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AT,AT SYSTEMATIZATION BHD,0072,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ATAIMS,ATA IMS BERHAD,8176,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.01</span>,Bursa
ATECH,AURELIUS TECHNOLOGIES BERHAD,5302,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.01</span>,Bursa
ATLAN,ATLAN HOLDINGS BHD,7048,RETAILERS,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ATRIUM,ATRIUM REITS,5130,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ATTA-LA,,7099LA,METALS,INDUSTRIAL PRODUCTS & SERVICES,Bonds/Loans,<span class='up fw-bold'>+0.005</span>,Bursa
ATTA-PA,,7099PA,METALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AURO,AURO HOLDINGS BERHAD,5025,WOOD & WOOD PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AURORA,AURORA ITALIA INTERNATIONAL BERHAD,03037,PERSONAL GOODS,CONSUMER PRODUCTS & SERVICES,LEAP Market,<span class='up fw-bold'>0.00</span>,Bursa
AUTORIS,AUTORIS GROUP HOLDINGS BERHAD,03059,,,LEAP Market,<span class='up fw-bold'></span>,Bursa
AVALAND,AVALAND BERHAD,5182,PROPERTY,PROPERTY,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
AVI,AVILLION BERHAD,8885,"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AWANTEC,AWANBIRU TECHNOLOGY BERHAD,5204,DIGITAL SERVICES,TECHNOLOGY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AWC,AWC BERHAD,7579,INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.03</span>,Bursa
AXIATA,AXIATA GROUP BERHAD,6888,TELECOMMUNICATIONS SERVICE PROVIDERS,TELECOMMUNICATIONS & MEDIA,Main Market,<span class='up fw-bold'>+0.05</span>,Bursa
AXJ-REITSETF,TRADEPLUS MSCI ASIA EX JAPAN REITS TRACKER,0837EA,EQUITY FUND,EXCHANGE TRADED FUND-EQUITY,Exchange Traded Fund,<span class='down fw-bold'>-0.008</span>,Bursa
AXREIT,AXIS REITS,5106,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='down fw-bold'>-0.02</span>,Bursa
AXTERIA,AXTERIA GROUP BERHAD,7120,PROPERTY,PROPERTY,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
AYER,AYER HOLDINGS BERHAD,2305,PROPERTY,PROPERTY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AYS,AYS VENTURES BHD,5021,BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.01</span>,Bursa
